raw_kpi_name,row_count,row_ratio,cumulative_row_ratio,unique_component_count,existing_bank_safe_v1_status,source_family,entity_scope,semantic_family,metric_kind,unit_hint,candidate_existing_slot,candidate_new_slot,recommended_action,confidence,transform_hint,reason
OSLinux-OSLinux_PROCESS_PROCESS_PROCNoZombies,160491,0.01313551851868221,0.01313551851868221,14,unmapped,OSLinux,host,unknown,unknown,unknown,,,manual_review,low,unknown,"semantic=unknown, unit=unknown, kind=unknown; cannot auto-classify"
OSLinux-OSLinux_PROCESS_zabbix_PROCPPCount,160489,0.013135354827029487,0.026270873345711696,14,unmapped,OSLinux,host,process,counter,count,,process_health,requires_new_slot,medium,delta_then_log1p,"Requires new slot 'process_health'; semantic=process, unit=count, source=OSLinux"
OSLinux-OSLinux_ZABBIX_Host_Uptime,160460,0.013132981298064984,0.03940385464377668,14,unmapped,OSLinux,host,uptime,duration,milliseconds,,,manual_review,low,unknown,"semantic=uptime, unit=milliseconds, kind=duration; cannot auto-classify"
OSLinux-OSLinux_NETWORK_NETWORK_TCP-CLOSE-WAIT,160049,0.013099342663430154,0.05250319730720683,14,unmapped,OSLinux,host,network,unknown,unknown,,os_network,requires_new_slot,medium,unknown,"Requires new slot 'os_network'; semantic=network, unit=unknown, source=OSLinux"
OSLinux-OSLinux_NETWORK_NETWORK_TCP-FIN-WAIT,159678,0.013068977861849811,0.06557217516905664,14,unmapped,OSLinux,host,network,unknown,unknown,,os_network,requires_new_slot,medium,unknown,"Requires new slot 'os_network'; semantic=network, unit=unknown, source=OSLinux"
OSLinux-CPU_CPU_CPULoad,158529,0.01297493700735974,0.07854711217641638,14,unmapped,OSLinux,host,cpu,gauge,unknown,,,manual_review,low,unknown,"semantic=cpu, unit=unknown, kind=gauge; cannot auto-classify"
OSLinux-CPU_CPU_CPUidleutil,158529,0.01297493700735974,0.09152204918377613,14,unmapped,OSLinux,host,cpu,ratio,percent,cpu,,map_safe_v2,high,unknown,"Maps to existing slot 'cpu'; semantic=cpu, unit=percent, source=OSLinux"
OSLinux-CPU_CPU_CPUWio,158523,0.012974445932401569,0.1044964951161777,14,unmapped,OSLinux,host,cpu,unknown,unknown,,,manual_review,low,unknown,"semantic=cpu, unit=unknown, kind=unknown; cannot auto-classify"
OSLinux-CPU_CPU_CPUSysTime,158515,0.012973791165790671,0.11747028628196837,14,unmapped,OSLinux,host,cpu,duration,milliseconds,,,manual_review,low,unknown,"semantic=cpu, unit=milliseconds, kind=duration; cannot auto-classify"
OSLinux-CPU_CPU_CPUUserTime,158512,0.012973545628311585,0.13044383191027994,14,unmapped,OSLinux,host,cpu,duration,milliseconds,,,manual_review,low,unknown,"semantic=cpu, unit=milliseconds, kind=duration; cannot auto-classify"
OSLinux-OSLinux_PROCESS_zabbix-zabbix_agentd_PROCPPCPUPerc,158483,0.012971172099347084,0.14341500400962703,14,unmapped,OSLinux,host,cpu,ratio,percent,cpu,,map_safe_v2,high,identity,"Maps to existing slot 'cpu'; semantic=cpu, unit=percent, source=OSLinux"
OSLinux-OSLinux_MEMORY_MEMORY_MEMUsedMemPerc,135715,0.011107706324734448,0.1545227103343615,14,unmapped,OSLinux,host,memory,ratio,percent,mem,,map_safe_v2,high,identity,"Maps to existing slot 'mem'; semantic=memory, unit=percent, source=OSLinux"
OSLinux-CPU_CPU_CPUCpuUtil,130588,0.010688082772975883,0.16521079310733738,14,accepted,OSLinux,host,cpu,ratio,percent,cpu,,map_safe_v2,high,unknown,"Maps to existing slot 'cpu'; semantic=cpu, unit=percent, source=OSLinux"
